PV,Tem
119.07,5.07
13.77,1.21
0,-0.35
0,-0.64
0,-0.21
0,-0.33
0,-0.36
0,-0.38
0,-0.51
0,-0.82
0,-1.13
0,-1.22
0,-1.16
0,-1.19
21.02,-1.02
131.1,-0.15
288.12,1.06
419.23,2.32
564.8,3.46
546.35,3.77
609.25,3.58
550.95,4.04
472.38,4.66
313.67,4.44
156.93,3.12
19.65,-0.06
0,-0.24
0,-0.72
0,-1.28
0,-0.95
0,-0.39
0,-0.09
0,-0.22
0,-0.5
0,-0.7
0,-0.66
0,-0.83
0,-1.14
35.12,-0.74
177.5,1.73
358.75,3.88
539.72,5.68
679.25,6.68
731.4,7.25
722.92,7.52
586.72,7.56
503.3,7.33
325.83,6.76
149.77,5.45
20.2,2.7
0,2.47
0,2
0,1.32
0,0.83
0,0.57
0,0.56
0,0.73
0,1.05
0,1.23
0,1.56
0,1.73
0,1.7
32.08,2.04
170.02,4.65
328.25,7.38
492.67,9.25
579.88,10.43
692.62,11.16
707.12,11.6
655.28,11.64
528.33,11.24
361.6,10.34
178.85,8.19
24.25,4.6
0,4.4
0,4.16
0,3.33
0,2.65
0,2.96
0,3.79
0,4.38
0,4.65
0,4.7
0,4.7
0,4.63
0,4.52
34.4,4.93
174.55,7.69
341.42,10.13
511.35,11.8
608.85,12.87
732.5,13.63
726.1,14.07
662.72,14.23
533.35,13.99
360.83,13.27
147.18,11.02
20.1,8.24
0,5.35
0,4.72
0,4.9
0,4.6
0,4.09
0,3.99
0,4.05
0,4.01
0,3.59
0,3.06
0,2.95
0,2.9
27.23,2.98
115.05,4.2
227.52,5.83
374.88,7.57
504.83,8.92
499.2,9.76
580.85,10.33
579.65,10.53
478.38,10.31
314.75,9.71
151.23,8.42
23.58,5.81
0,5.24
0,4.81
0,4.08
0,3.55
0,2.91
0,2.47
0,2.38
0,2.37
0,2.32
0,2.36
0,2.48
0,2.4
46.7,2.77
221.45,5.09
415.55,7.71
582.3,9.52
710.2,10.75
776.5,11.77
755.15,12.47
703.53,12.82
559.25,12.75
393.8,12.28
202.32,10.74
32.22,5.69
0,4.44
0,4.34
0,3.59
0,2.78
0,2.32
0,2.05
0,1.97
0,1.78
0,1.44
0,1.01
0,0.53
0,0.06
57.92,1.44
241.68,5.63
434.15,8.48
596.42,10.28
722.15,11.31
778.3,12.08
784.88,12.66
703.17,13
575.85,12.98
425.42,12.42
207.95,10.78
29.98,5.85
0,4.46
0,4.24
0,3.46
0,2.52
0,1.81
0,1.7
0,2.27
